Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;1;2;1;4;6;2;8;9;3
1000001;1A;1;1;0;0;4;2;3;1;2
1000002;1A;1;1;1;2;5;0;5;5;3
1000003;1A;1;1;0;2;5;1;7;4;1
1000004;1A;0;0;1;2;0;1;8;9;3
1000005;1A;1;0;0;1;6;1;1;1;3
1000006;1A;0;2;1;0;1;2;7;7;3
1000007;1A;0;1;0;1;4;0;4;9;0
1000008;1A;0;0;1;4;1;2;2;7;1
1000009;1A;1;0;0;4;2;0;7;9;1
1000010;1A;0;2;0;0;1;0;7;6;3
1000011;1A;1;2;0;2;4;1;1;1;3
1000012;1A;0;1;0;3;4;0;7;4;2
1000013;1A;1;1;0;4;2;2;8;3;0
1000014;1A;0;0;1;4;1;1;6;9;2
1000015;1A;1;1;0;1;1;2;0;4;0
1000016;1A;0;0;0;4;1;1;5;7;3
1000017;1A;0;2;0;2;1;1;6;8;2
1000018;1A;0;0;0;3;4;1;6;2;3
1000019;1A;1;0;1;3;3;1;2;7;3
1000020;1A;0;0;0;2;6;2;1;6;0
1000021;1A;0;0;0;2;1;0;6;5;1
1000022;1A;1;2;0;0;3;2;8;4;1
1000023;1A;0;0;0;1;5;1;3;3;1
1000024;1A;1;2;0;3;3;2;4;9;1
1000025;1A;1;0;0;3;3;1;8;7;2
1000026;1A;0;2;1;0;6;2;0;5;0
