Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3;9.1;9.2;9.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;5;5;9;4;9;5;2;1;10;7;10;8;2;4;4;2;9;10;2;6;3;10;10;4;7;8
1000001;1A;5;5;5;7;0;0;2;2;1;6;2;10;4;0;4;2;0;6;0;1;6;2;6;8;2;7;8
1000002;1A;3;3;4;0;2;2;5;1;0;4;7;8;1;0;4;3;1;8;7;2;6;0;2;9;4;3;4
1000003;1A;7;3;5;0;2;6;5;1;0;6;6;0;1;1;3;1;2;3;6;1;3;3;7;6;3;6;2
1000004;1A;0;4;5;0;4;7;1;0;1;10;0;1;7;1;2;2;1;0;9;2;5;3;4;7;4;5;1
1000005;1A;2;2;1;1;2;6;2;0;1;1;3;5;1;1;1;0;0;9;1;1;1;1;2;6;4;5;0
1000006;1A;5;1;0;9;4;2;1;0;1;8;5;10;1;0;1;2;0;9;7;2;5;3;5;8;4;3;3
1000007;1A;2;3;0;4;4;5;5;1;0;6;6;8;3;2;0;2;1;9;6;2;0;1;7;7;3;4;2
1000008;1A;6;2;2;2;0;8;2;0;1;5;4;7;0;1;4;2;0;5;2;1;1;2;1;6;4;3;4
1000009;1A;2;1;3;3;3;7;5;0;1;7;5;1;1;2;0;4;0;4;6;2;6;1;7;9;3;6;2
1000010;1A;3;2;2;2;0;8;4;2;0;10;2;3;8;1;0;3;2;5;1;1;4;2;0;3;0;2;8
1000011;1A;1;2;2;7;2;6;3;2;1;5;0;1;4;1;2;3;1;7;5;1;2;2;4;3;0;7;5
1000012;1A;2;4;2;9;4;2;0;1;0;3;7;10;7;1;4;1;0;8;9;1;4;1;8;7;2;4;5
1000013;1A;3;1;2;5;3;6;5;2;0;0;4;5;0;1;0;4;0;6;3;2;2;3;0;5;3;5;6
1000014;1A;0;5;1;2;4;6;2;2;1;4;4;2;4;2;4;2;2;1;8;1;2;2;10;5;3;3;8
1000015;1A;5;2;0;6;1;5;3;0;0;6;4;8;2;1;2;4;0;5;3;0;0;0;9;7;4;4;5
