Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;3;9;4;6;9;7
1000001;1A;2;9;4;4;4;1
1000002;1A;1;8;1;2;8;3
1000003;1A;3;6;1;5;6;7
1000004;1A;1;4;0;6;5;4
1000005;1A;1;4;2;1;3;1
1000006;1A;1;7;4;5;1;2
1000007;1A;2;0;1;4;2;2
1000008;1A;3;8;2;5;7;5
1000009;1A;0;5;2;2;3;5
1000010;1A;0;2;3;2;7;2
1000011;1A;1;0;3;3;3;2
1000012;1A;0;9;1;0;6;6
1000013;1A;2;0;2;1;5;1
1000014;1A;1;3;2;0;6;4
1000015;1A;0;9;2;5;7;7
1000016;1A;1;1;4;6;9;5
1000017;1A;3;0;0;2;4;5
1000018;1A;2;0;0;3;8;4
1000019;1A;3;0;3;0;3;5
1000020;1A;0;0;1;3;9;6
1000021;1A;0;8;3;4;7;1
1000022;1A;1;7;3;4;2;4
1000023;1A;0;4;0;5;8;7
1000024;1A;3;8;0;6;2;1
1000025;1A;3;0;1;1;3;3
1000026;1A;3;4;4;5;6;5
1000027;1A;3;1;2;5;4;3
1000028;1A;3;5;3;2;1;4
1000029;1A;3;7;3;1;0;3
1000030;1A;0;0;0;3;3;2
1000031;1A;0;2;3;6;4;7
1000032;1A;2;6;1;3;7;1
1000033;1A;2;2;2;3;0;3
1000034;1A;2;2;3;2;2;4
1000035;1A;3;8;2;2;9;6
1000036;1A;2;5;2;0;6;1
1000037;1A;2;4;0;0;6;7
1000038;1A;1;1;0;2;5;0
1000039;1A;1;0;4;4;0;7
1000040;1A;2;6;3;2;9;7
1000041;1A;3;2;2;3;4;7
1000042;1A;0;9;4;2;1;2
1000043;1A;1;4;1;3;7;1
1000044;1A;0;0;3;4;5;3
1000045;1A;3;6;3;5;5;7
1000046;1A;3;3;4;3;7;4
1000047;1A;3;0;1;1;5;2
1000048;1A;2;3;3;1;0;5
