Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;3;2;6;6;2;8;9;3;10;8;2
1000001;1A;2;1;1;4;1;2;1;1;2;7;1;0
1000002;1A;1;1;2;3;3;2;8;5;2;2;0;1
1000003;1A;1;1;2;5;4;1;4;7;2;9;7;2
1000004;1A;4;3;2;2;1;1;7;5;2;3;7;0
1000005;1A;4;2;0;4;5;1;1;5;2;1;4;0
1000006;1A;4;2;2;3;5;1;2;2;0;3;2;2
1000007;1A;2;2;0;6;5;1;1;6;0;6;3;0
1000008;1A;2;2;1;2;2;0;7;3;0;0;8;0
1000009;1A;1;2;1;0;2;1;7;8;1;8;5;0
1000010;1A;0;1;1;3;6;1;1;1;3;10;0;1
1000011;1A;1;2;2;6;1;2;4;3;0;1;8;2
1000012;1A;4;1;2;0;3;2;6;5;1;3;7;0
1000013;1A;1;2;0;4;0;2;2;4;2;5;2;1
1000014;1A;3;0;0;1;6;2;1;1;1;9;3;1
1000015;1A;4;3;1;5;0;1;0;3;1;5;1;1
1000016;1A;0;3;2;2;5;2;0;7;1;10;1;1
1000017;1A;1;0;0;5;4;2;2;7;3;8;5;2
1000018;1A;4;1;1;5;4;2;3;7;3;4;0;0
1000019;1A;3;3;1;6;3;2;8;0;2;6;3;0
1000020;1A;4;0;0;0;3;0;8;7;2;8;4;1
1000021;1A;0;3;0;0;6;1;4;2;0;9;2;0
1000022;1A;0;3;2;1;4;0;7;4;1;7;5;0
