Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;10;5;6;5;7;5;8;1;4;5;3;10;4;5
1000001;1A;0;0;2;4;0;2;5;7;1;1;1;1;3;1;0
1000002;1A;4;3;5;4;4;6;5;8;0;0;0;3;10;4;0
1000003;1A;0;1;2;5;5;2;4;4;1;2;2;2;5;2;0
1000004;1A;0;10;4;4;2;2;3;1;1;4;0;3;9;3;0
1000005;1A;1;1;3;4;3;6;2;5;1;0;1;1;3;1;4
1000006;1A;3;4;0;1;0;7;5;8;0;4;2;1;0;2;4
1000007;1A;0;4;2;6;1;2;3;1;0;0;4;1;7;3;0
1000008;1A;3;3;3;6;0;0;5;1;0;3;0;3;10;2;4
1000009;1A;2;3;0;3;2;2;3;8;0;2;3;1;10;4;4
1000010;1A;0;7;0;5;3;1;1;1;0;1;0;3;2;0;1
1000011;1A;4;7;3;4;2;5;5;1;1;1;2;3;3;4;0
1000012;1A;2;4;2;4;1;1;1;7;1;0;0;3;9;2;2
1000013;1A;0;4;3;6;2;0;4;8;1;0;0;3;6;3;1
1000014;1A;0;10;1;6;0;0;5;3;1;4;2;0;7;4;1
1000015;1A;4;5;5;1;0;2;5;4;0;0;0;0;7;3;1
1000016;1A;2;5;5;3;0;2;3;4;1;2;0;2;1;4;5
1000017;1A;0;9;3;6;2;4;2;4;0;0;5;3;10;4;3
1000018;1A;0;0;5;0;0;1;2;2;0;2;0;2;2;0;4
1000019;1A;2;2;0;3;4;1;5;2;1;1;2;1;9;4;1
1000020;1A;2;7;0;2;4;4;1;3;1;0;1;1;10;1;3
