Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;2;1;8;9;2;8;6;2;2;4;2;7;8;7;3;7;4;5;5;8;9;10;8;2
1000001;1A;1;0;5;8;0;4;1;0;0;0;1;0;3;3;3;3;3;3;3;2;2;5;4;2
1000002;1A;0;1;6;5;1;2;6;0;2;4;0;7;6;6;1;7;2;5;1;4;0;5;6;2
1000003;1A;0;1;7;3;2;1;3;0;2;2;2;2;1;7;3;0;4;1;5;7;7;3;0;2
1000004;1A;1;0;3;3;0;0;4;2;2;0;0;1;7;3;0;0;1;2;2;3;4;5;3;1
1000005;1A;2;1;7;3;2;8;0;1;0;3;0;6;0;4;2;4;1;4;0;0;6;10;4;0
1000006;1A;2;0;0;5;2;7;6;1;0;4;2;0;5;5;2;4;1;2;2;2;2;8;6;2
1000007;1A;1;0;8;0;1;5;0;1;1;1;0;2;3;5;0;2;0;3;3;2;9;0;8;0
1000008;1A;2;0;5;6;0;4;2;0;2;0;1;1;2;4;2;2;2;5;3;8;2;2;8;2
1000009;1A;1;0;1;3;0;1;5;0;2;1;0;7;3;6;0;2;4;1;5;3;6;7;0;2
1000010;1A;0;0;7;4;0;7;5;1;0;0;0;6;2;7;1;7;3;4;4;3;5;9;2;1
1000011;1A;2;1;3;7;1;2;2;1;0;4;2;6;0;2;1;5;2;3;2;7;5;5;0;1
1000012;1A;1;1;2;1;2;8;4;0;2;0;0;1;2;4;0;6;1;1;3;3;1;7;6;2
1000013;1A;1;0;8;9;1;8;4;1;0;4;0;2;8;2;3;7;2;0;5;3;2;5;1;1
1000014;1A;0;0;5;6;2;5;2;2;1;0;1;0;1;5;3;7;1;1;1;0;6;9;3;1
1000015;1A;0;0;3;5;0;2;2;0;0;4;0;3;5;6;2;6;1;1;0;1;7;4;8;2
1000016;1A;1;1;8;6;0;7;6;0;0;1;1;4;6;6;1;2;0;2;3;1;5;5;1;0
1000017;1A;1;1;6;8;0;6;5;2;1;1;0;7;1;7;3;7;3;4;5;3;2;5;6;0
1000018;1A;2;0;4;5;1;8;1;0;2;0;1;6;5;6;2;4;2;4;0;6;9;8;1;0
1000019;1A;2;1;4;0;0;1;5;0;1;4;2;3;6;4;2;3;2;5;3;1;1;4;1;0
1000020;1A;1;0;1;3;1;7;3;2;2;1;1;1;6;3;2;4;4;0;0;8;0;5;1;0
1000021;1A;2;1;7;9;1;1;5;0;2;1;0;6;2;7;0;4;0;0;1;8;1;3;5;1
1000022;1A;2;0;8;8;1;3;2;2;0;4;1;5;0;6;2;2;2;3;4;7;4;10;1;0
1000023;1A;2;0;6;3;0;5;5;0;1;0;1;4;7;5;0;6;3;2;2;1;3;2;0;1
1000024;1A;1;0;8;0;2;4;5;0;2;3;2;6;3;7;2;0;2;1;5;5;6;9;8;2
1000025;1A;1;0;6;3;0;6;5;2;0;0;0;4;2;7;2;1;1;2;3;8;2;5;3;1
