Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;3;1;7;1;6;3;7;7;4;3;2
1000001;1A;2;3;0;5;0;3;2;4;0;1;1;0
1000002;1A;1;2;1;2;1;0;3;6;0;1;2;1
1000003;1A;5;0;0;3;0;1;0;2;1;0;2;2
1000004;1A;0;3;1;6;1;6;1;1;0;4;1;2
1000005;1A;4;0;0;7;1;0;3;0;1;4;2;2
1000006;1A;3;1;1;6;1;3;1;3;4;1;0;0
1000007;1A;3;1;0;3;1;1;2;7;3;1;2;2
1000008;1A;2;2;1;6;1;4;0;0;6;2;2;2
1000009;1A;3;1;0;2;0;3;2;0;5;1;3;0
1000010;1A;7;3;0;3;0;2;3;0;0;3;2;1
1000011;1A;5;0;1;1;0;6;0;3;0;1;2;1
1000012;1A;2;0;0;5;1;1;2;5;5;4;2;1
1000013;1A;4;2;0;7;1;3;1;0;5;0;0;1
1000014;1A;4;1;0;7;0;4;2;7;4;1;0;0
1000015;1A;3;0;0;5;1;4;0;1;7;2;1;1
1000016;1A;4;3;0;1;1;5;0;7;3;2;3;2
1000017;1A;4;1;1;4;0;4;2;2;0;4;3;2
1000018;1A;0;2;0;4;1;0;2;6;7;3;2;2
1000019;1A;3;3;0;3;0;5;3;5;7;3;3;1
1000020;1A;1;0;1;0;0;3;2;5;0;2;0;0
1000021;1A;0;0;0;6;1;0;0;0;5;3;3;1
1000022;1A;4;0;1;3;0;4;3;3;6;1;2;2
1000023;1A;3;3;1;7;0;3;3;6;4;2;3;0
