Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;4;7;7;3;10;1
1000001;1A;3;6;3;3;3;0
1000002;1A;3;2;2;3;8;1
1000003;1A;0;1;0;0;3;0
1000004;1A;3;2;4;0;3;1
1000005;1A;2;1;1;0;9;1
1000006;1A;4;3;7;0;4;0
1000007;1A;1;5;7;3;9;1
1000008;1A;4;2;5;0;8;0
1000009;1A;2;7;3;0;10;1
1000010;1A;4;7;6;0;10;0
1000011;1A;1;6;2;3;0;1
1000012;1A;2;0;4;0;9;0
1000013;1A;1;7;3;1;6;0
1000014;1A;2;4;6;3;1;0
1000015;1A;1;2;4;3;5;1
1000016;1A;3;0;3;3;8;1
1000017;1A;4;6;6;1;2;1
1000018;1A;3;4;0;3;2;0
