Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;10;5;9;9;9;9;6;5;10
1000001;1A;6;5;6;0;2;5;5;2;8
1000002;1A;1;1;3;1;0;0;5;5;8
1000003;1A;2;5;7;3;9;1;3;2;1
1000004;1A;2;5;3;6;7;8;3;2;10
1000005;1A;5;1;8;6;3;9;1;2;7
1000006;1A;9;3;0;9;6;1;4;0;3
1000007;1A;5;5;1;8;7;9;6;3;9
1000008;1A;2;2;5;9;3;4;2;0;2
1000009;1A;4;3;1;1;8;1;5;2;5
1000010;1A;0;3;5;5;1;1;3;3;3
1000011;1A;7;2;0;3;5;8;2;0;0
1000012;1A;6;5;5;3;9;8;1;5;10
1000013;1A;0;2;8;5;7;8;4;4;7
1000014;1A;2;0;1;4;9;7;0;5;5
1000015;1A;9;1;2;1;7;6;0;3;9
1000016;1A;9;0;4;0;2;5;2;1;8
1000017;1A;10;0;1;2;2;6;4;3;8
1000018;1A;0;3;0;8;1;9;4;0;3
1000019;1A;10;1;2;1;8;7;3;0;4
1000020;1A;4;4;3;2;2;1;3;2;3
1000021;1A;1;4;1;3;8;3;6;5;9
1000022;1A;10;4;3;7;8;6;5;5;8
