Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;6;3;1;3;2;4;7;9;10
1000001;1A;3;3;0;1;2;1;0;2;4
1000002;1A;4;0;1;2;1;4;3;7;5
1000003;1A;1;0;1;1;1;1;0;1;5
1000004;1A;3;2;1;1;1;0;3;4;6
1000005;1A;0;3;0;0;0;1;7;8;2
1000006;1A;1;3;0;3;2;2;6;3;9
1000007;1A;2;3;0;0;2;4;2;9;10
1000008;1A;6;3;1;1;1;4;1;1;6
1000009;1A;4;2;0;2;0;1;1;2;6
1000010;1A;0;2;1;0;0;2;2;1;2
1000011;1A;3;3;0;3;2;4;2;5;9
1000012;1A;3;3;1;0;0;4;4;2;7
1000013;1A;6;2;1;1;2;1;1;9;7
1000014;1A;2;1;0;3;1;3;2;4;5
1000015;1A;0;3;1;3;1;0;2;4;7
1000016;1A;2;3;1;2;0;1;5;7;0
1000017;1A;0;0;0;0;0;0;5;5;4
1000018;1A;3;0;0;1;1;1;4;8;7
1000019;1A;4;0;1;3;2;4;2;4;8
1000020;1A;1;1;0;1;0;0;1;4;3
1000021;1A;0;1;0;2;0;0;2;8;5
1000022;1A;2;2;0;3;1;2;4;5;10
1000023;1A;2;1;0;3;1;1;3;4;8
1000024;1A;0;3;0;1;2;4;3;1;7
1000025;1A;2;3;0;2;0;0;1;3;7
1000026;1A;6;1;0;1;1;3;6;3;8
1000027;1A;5;2;0;2;1;2;7;8;1
1000028;1A;6;0;1;3;0;0;6;6;7
1000029;1A;1;3;1;0;2;0;0;9;7
1000030;1A;6;0;1;3;1;4;5;4;6
1000031;1A;5;0;0;3;2;3;0;5;7
1000032;1A;0;1;0;3;2;3;5;9;9
1000033;1A;2;0;0;3;0;2;2;2;5
1000034;1A;2;3;0;2;1;4;1;4;5
1000035;1A;4;0;1;2;1;3;3;0;0
1000036;1A;1;3;0;2;0;1;4;9;0
1000037;1A;4;2;0;3;0;3;3;6;8
1000038;1A;6;2;1;0;0;4;4;7;6
1000039;1A;4;2;1;3;0;1;6;5;6
1000040;1A;1;1;1;3;2;2;6;5;7
1000041;1A;0;2;0;1;1;4;0;0;6
1000042;1A;4;1;1;1;2;2;5;4;0
1000043;1A;3;2;0;3;0;0;3;0;7
