Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;3;4;4;6;2;5
1000001;1A;0;0;1;1;1;0
1000002;1A;0;4;2;6;2;4
1000003;1A;1;1;0;0;1;2
1000004;1A;2;4;1;2;0;1
1000005;1A;0;0;1;0;0;4
1000006;1A;1;2;1;3;1;1
1000007;1A;1;2;3;1;2;2
1000008;1A;1;1;3;1;2;0
1000009;1A;1;2;4;1;0;2
1000010;1A;0;4;0;5;2;4
1000011;1A;3;4;1;3;2;3
1000012;1A;0;3;0;4;0;1
1000013;1A;0;1;0;2;1;0
1000014;1A;0;1;1;2;1;4
1000015;1A;0;1;3;0;1;1
1000016;1A;2;1;3;1;0;4
1000017;1A;1;1;1;0;2;5
1000018;1A;0;2;2;2;0;1
1000019;1A;0;2;4;3;2;2
1000020;1A;2;4;4;4;0;3
1000021;1A;3;1;0;0;0;3
1000022;1A;0;4;4;2;0;2
1000023;1A;2;1;3;0;0;5
1000024;1A;3;2;4;3;1;2
1000025;1A;1;3;2;5;2;4
