Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;1;1;10;8;1;3;6;5;7
1000001;1A;0;1;0;3;0;2;1;2;4
1000002;1A;1;1;7;5;0;0;2;5;6
1000003;1A;0;0;0;0;1;3;3;4;5
1000004;1A;0;1;2;3;1;2;2;1;1
1000005;1A;1;1;5;4;1;3;3;5;4
1000006;1A;0;1;8;6;1;3;0;4;7
1000007;1A;0;0;6;2;0;0;3;5;2
1000008;1A;0;1;1;4;0;3;0;2;0
1000009;1A;1;1;4;6;0;3;6;1;7
1000010;1A;0;0;5;7;0;3;2;3;0
1000011;1A;0;0;9;1;0;2;2;3;1
1000012;1A;1;1;4;2;1;3;1;1;2
1000013;1A;0;0;4;7;0;2;5;2;3
1000014;1A;1;1;5;5;1;3;0;2;2
1000015;1A;0;1;0;3;1;3;2;3;3
1000016;1A;1;1;1;5;0;0;6;2;2
1000017;1A;0;1;7;0;0;2;5;3;0
1000018;1A;0;1;5;8;1;3;3;2;2
1000019;1A;1;0;4;1;0;2;0;2;4
1000020;1A;0;1;0;0;1;3;2;0;5
1000021;1A;0;0;2;6;1;3;6;2;3
1000022;1A;0;0;2;0;1;3;0;2;7
1000023;1A;0;1;9;8;1;3;0;5;4
