Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;7;2;2
1000001;1A;0;0;0
1000002;1A;4;2;0
1000003;1A;3;2;1
1000004;1A;5;0;2
1000005;1A;5;0;2
1000006;1A;5;2;2
1000007;1A;7;0;2
1000008;1A;6;0;1
1000009;1A;1;0;0
1000010;1A;6;0;1
1000011;1A;1;0;0
1000012;1A;6;0;1
1000013;1A;3;2;0
1000014;1A;3;0;0
1000015;1A;6;1;2
1000016;1A;0;2;1
1000017;1A;4;1;1
1000018;1A;2;1;2
1000019;1A;1;0;1
1000020;1A;7;0;2
1000021;1A;2;1;1
1000022;1A;2;0;0
1000023;1A;0;1;1
1000024;1A;5;0;1
1000025;1A;0;0;0
1000026;1A;6;2;2
1000027;1A;1;1;1
1000028;1A;7;1;0
1000029;1A;3;0;0
1000030;1A;2;1;1
1000031;1A;6;2;1
1000032;1A;4;0;0
1000033;1A;3;0;1
