Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;10;4;4;1;6;3;1;9;4;4;10;6;2;5;3;5;6;6
1000001;1A;5;2;0;1;5;0;1;7;2;0;6;5;1;3;0;5;3;6
1000002;1A;4;4;0;1;0;2;1;0;1;0;5;1;1;2;3;3;3;2
1000003;1A;2;2;1;1;3;2;0;8;1;0;8;3;1;4;1;3;3;1
1000004;1A;2;4;0;0;5;1;1;6;0;4;5;1;2;3;3;3;3;1
1000005;1A;9;1;4;0;3;2;0;4;2;0;6;1;1;5;1;2;0;4
1000006;1A;5;1;0;0;6;0;0;0;0;0;5;3;0;2;1;2;2;1
1000007;1A;3;1;1;0;6;2;0;7;2;3;5;3;1;0;3;4;1;5
1000008;1A;2;2;1;0;5;0;1;8;2;3;7;5;2;5;2;1;1;4
1000009;1A;7;1;1;0;3;3;0;1;4;3;4;4;2;5;3;5;0;2
1000010;1A;4;0;1;0;0;1;0;8;0;2;6;1;0;1;0;1;1;2
1000011;1A;8;3;2;1;6;0;0;1;0;3;1;4;0;0;1;2;2;5
1000012;1A;9;3;3;1;4;3;0;6;3;0;9;1;2;3;3;5;2;2
1000013;1A;6;2;0;0;3;2;1;9;1;1;0;0;1;5;3;2;1;1
1000014;1A;7;2;2;0;2;0;0;8;4;3;0;1;2;0;3;1;2;3
1000015;1A;7;4;4;1;0;1;0;4;4;1;1;6;1;1;1;5;5;3
1000016;1A;8;1;2;1;6;2;0;6;4;3;0;5;0;1;1;3;2;2
1000017;1A;0;2;0;0;3;1;1;8;2;1;7;2;0;3;0;1;5;3
1000018;1A;7;3;2;1;4;3;1;8;0;2;5;5;2;1;0;2;5;6
1000019;1A;4;2;4;0;3;3;1;4;4;0;8;2;2;3;3;5;1;0
1000020;1A;8;2;1;1;6;3;1;7;0;4;9;1;2;0;3;5;0;3
1000021;1A;7;1;0;1;0;2;0;2;2;1;3;3;1;5;2;5;2;6
1000022;1A;4;3;2;0;4;2;1;4;0;1;1;6;1;4;2;5;6;5
1000023;1A;5;2;2;0;1;3;0;6;1;2;3;1;0;5;2;4;4;1
1000024;1A;6;4;3;1;6;1;0;7;2;4;7;3;2;2;1;3;0;5
1000025;1A;3;0;1;0;2;2;0;9;2;0;0;6;0;2;3;1;2;1
