Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;5;7;1;10;10;10;1;3;10;10;2;5
1000001;1A;3;5;0;4;7;8;1;3;0;8;0;2
1000002;1A;3;4;1;8;10;10;1;3;5;3;2;5
1000003;1A;0;7;0;5;0;10;0;1;0;10;0;1
1000004;1A;3;2;0;3;4;5;0;2;0;9;0;1
1000005;1A;0;0;1;7;5;4;1;1;10;6;2;1
1000006;1A;0;7;0;7;6;0;1;2;7;1;0;0
1000007;1A;0;1;1;4;0;5;1;3;9;6;1;4
1000008;1A;5;2;1;9;0;9;1;3;9;2;0;1
1000009;1A;1;2;1;5;4;8;1;0;8;5;1;2
1000010;1A;0;7;0;6;9;6;0;0;0;0;2;5
1000011;1A;0;7;1;6;4;9;1;2;8;7;1;2
1000012;1A;2;1;0;9;3;6;1;2;2;2;0;5
1000013;1A;4;6;0;10;1;6;1;0;6;8;0;5
1000014;1A;2;5;0;5;6;0;1;2;4;5;0;2
1000015;1A;0;0;1;7;10;10;0;3;6;0;1;4
1000016;1A;5;3;1;9;10;9;0;2;9;7;0;5
1000017;1A;4;5;1;6;9;2;1;3;10;9;2;2
1000018;1A;5;7;1;9;4;7;0;0;8;4;1;1
1000019;1A;1;1;0;6;10;0;0;1;7;5;2;3
1000020;1A;3;4;1;4;2;10;0;1;9;10;1;1
1000021;1A;0;5;1;6;0;8;0;1;6;9;2;5
1000022;1A;2;2;0;9;9;0;0;3;10;10;1;0
1000023;1A;5;3;1;3;1;0;0;1;2;7;1;2
1000024;1A;2;7;1;3;2;3;1;3;1;6;2;0
