Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;5;8;5;10;4;9;2;5;10;6;10;10;3;4;9;5;9;10
1000001;1A;2;5;0;2;2;5;0;4;4;6;7;6;2;0;8;4;9;9
1000002;1A;4;0;3;9;2;8;1;0;3;4;7;4;3;2;6;5;0;0
1000003;1A;2;4;5;4;1;5;1;4;3;3;1;2;1;1;0;4;2;8
1000004;1A;0;2;4;1;0;8;2;5;1;3;2;5;0;1;5;3;3;10
1000005;1A;5;6;0;3;3;2;2;5;0;5;0;5;2;3;3;4;2;4
1000006;1A;5;1;5;0;0;3;0;2;1;5;0;8;2;3;9;4;8;8
1000007;1A;3;4;4;4;2;6;1;3;5;3;9;7;0;2;4;5;1;10
1000008;1A;3;5;1;0;3;2;2;2;3;3;8;6;1;1;4;5;0;5
1000009;1A;5;8;3;9;4;6;2;2;4;4;0;10;0;2;3;5;6;4
1000010;1A;3;4;2;6;4;4;2;4;2;1;4;3;3;2;8;3;9;6
1000011;1A;1;1;5;5;4;8;2;4;3;0;9;6;1;2;8;1;4;9
1000012;1A;0;4;0;0;4;1;0;5;7;2;5;8;3;4;0;1;4;5
1000013;1A;0;2;4;7;3;3;0;3;0;5;3;6;0;3;1;4;5;3
1000014;1A;0;5;2;8;1;9;1;0;8;2;3;8;3;4;4;4;1;6
1000015;1A;1;0;1;2;2;4;0;0;8;6;8;10;3;1;9;5;4;5
1000016;1A;1;3;3;7;0;0;0;0;10;1;1;0;2;4;0;1;9;0
1000017;1A;1;3;5;9;0;0;2;0;8;5;1;2;3;1;4;5;7;8
1000018;1A;1;0;5;10;1;8;0;4;0;0;8;10;3;2;7;2;6;5
1000019;1A;3;8;2;5;1;5;1;4;1;0;4;7;3;3;7;2;4;0
1000020;1A;5;4;1;6;3;2;0;4;4;5;9;4;2;0;0;3;6;9
1000021;1A;5;0;5;9;2;1;0;1;7;1;2;0;2;4;8;3;4;8
