Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;9;6;4;8;1;4
1000001;1A;6;5;0;2;1;3
1000002;1A;6;4;1;7;1;3
1000003;1A;5;3;1;7;0;4
1000004;1A;9;5;4;4;1;3
1000005;1A;2;2;4;8;1;4
1000006;1A;3;3;1;1;1;3
1000007;1A;4;2;3;5;1;0
1000008;1A;9;3;1;2;1;1
1000009;1A;8;1;2;1;0;3
1000010;1A;0;6;1;7;0;4
1000011;1A;5;3;1;4;0;2
1000012;1A;7;4;4;6;1;3
1000013;1A;5;5;0;3;0;3
1000014;1A;9;3;2;1;0;2
1000015;1A;9;3;0;1;0;1
1000016;1A;9;3;2;1;0;2
1000017;1A;5;6;1;7;0;2
1000018;1A;5;3;3;8;1;1
1000019;1A;3;2;2;8;1;4
1000020;1A;9;4;1;5;1;1
1000021;1A;5;6;2;5;0;3
1000022;1A;7;6;4;8;0;3
1000023;1A;5;2;1;6;1;0
1000024;1A;1;3;4;4;0;1
