Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;8;1;6;2;1;4
1000001;1A;7;1;4;2;0;4
1000002;1A;6;0;1;1;0;0
1000003;1A;3;1;5;0;0;4
1000004;1A;1;1;2;2;0;0
1000005;1A;5;1;1;0;1;4
1000006;1A;4;1;3;1;0;4
1000007;1A;6;0;3;0;0;1
1000008;1A;8;0;6;2;1;0
1000009;1A;0;0;4;0;1;2
1000010;1A;1;0;3;1;0;1
1000011;1A;1;1;2;0;0;0
1000012;1A;6;0;3;0;1;3
1000013;1A;6;0;2;2;0;1
1000014;1A;8;0;2;0;1;4
1000015;1A;2;0;2;2;1;2
1000016;1A;1;0;5;1;1;4
1000017;1A;4;1;4;0;1;3
1000018;1A;8;1;5;1;1;4
1000019;1A;5;1;4;1;1;3
1000020;1A;7;0;5;1;0;3
1000021;1A;3;1;0;1;1;1
1000022;1A;0;0;3;0;0;3
1000023;1A;8;0;4;2;1;2
1000024;1A;7;0;4;2;0;3
1000025;1A;3;0;3;2;0;4
1000026;1A;1;0;4;0;1;4
