Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3;9.1;9.2;9.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;6;8;9;9;8;10;9;3;6;2;1;7;1;8;5;9;9;6;9;4;9;8;5;1;5;1;1
1000001;1A;6;5;2;3;5;8;6;0;3;1;1;2;0;2;3;9;8;1;7;2;3;1;0;0;5;1;0
1000002;1A;0;4;5;0;4;6;6;1;4;0;0;7;1;0;3;0;6;3;7;4;0;6;2;0;2;0;1
1000003;1A;6;4;5;4;6;9;9;3;3;2;1;3;0;2;1;6;9;6;0;4;2;6;4;0;2;1;0
1000004;1A;1;0;7;7;8;2;0;0;3;2;0;0;1;8;3;9;3;2;9;3;5;6;3;1;3;0;0
1000005;1A;5;8;5;8;6;4;8;3;2;1;0;2;0;8;0;3;4;5;1;3;0;4;3;1;1;1;1
1000006;1A;5;0;8;3;4;0;2;1;3;0;0;3;1;1;4;5;3;2;8;4;9;6;1;1;4;1;1
1000007;1A;2;8;1;2;0;3;3;1;3;0;0;6;0;0;5;0;2;2;8;3;6;1;3;1;0;1;1
1000008;1A;5;3;2;4;6;7;2;1;3;2;0;2;0;1;2;8;1;6;2;2;2;3;4;0;1;1;1
1000009;1A;4;0;8;0;6;7;5;0;4;1;1;5;0;0;5;1;8;5;6;3;9;5;5;1;1;1;1
1000010;1A;1;3;1;8;6;6;1;1;5;2;0;3;1;0;4;5;6;0;7;0;1;8;4;1;2;1;0
1000011;1A;3;8;3;0;3;6;1;1;6;0;0;0;1;5;0;8;4;1;2;1;7;6;5;0;1;0;0
1000012;1A;3;0;1;7;0;2;1;3;4;2;1;7;1;0;3;4;2;6;2;4;4;6;0;1;5;0;1
1000013;1A;2;0;3;5;6;2;0;3;4;1;0;4;0;6;5;9;6;4;1;2;4;8;2;1;1;0;1
1000014;1A;3;2;0;1;5;3;6;2;3;0;0;7;1;7;4;6;1;2;8;3;2;6;4;1;4;0;1
1000015;1A;0;7;6;6;4;6;2;0;0;2;0;5;1;6;0;5;6;0;3;0;3;6;3;0;4;1;0
1000016;1A;6;3;8;9;7;1;4;0;2;0;0;4;0;4;3;8;2;6;4;3;1;3;5;0;5;1;1
1000017;1A;1;3;1;5;5;4;8;0;2;2;1;1;0;4;3;0;4;4;1;1;5;7;5;0;4;1;1
1000018;1A;4;6;9;0;0;8;1;1;1;2;0;0;1;3;0;2;6;1;8;4;3;0;2;1;1;0;1
1000019;1A;5;7;5;8;3;2;0;3;0;1;1;2;0;6;4;7;7;4;9;4;8;2;3;1;2;0;0
1000020;1A;3;5;6;0;7;8;1;0;1;2;0;1;0;2;0;5;4;6;9;2;5;0;4;1;3;0;0
1000021;1A;0;1;6;4;0;7;8;0;1;0;1;4;1;0;2;2;0;5;7;3;9;3;1;1;4;0;1
1000022;1A;1;8;8;2;1;7;9;1;6;1;0;5;1;2;0;0;5;5;0;3;7;8;4;0;0;0;0
1000023;1A;1;3;5;7;7;9;6;3;6;2;0;7;1;5;1;8;0;1;7;3;0;6;4;1;0;1;1
1000024;1A;6;6;9;6;3;10;6;0;6;1;1;6;0;5;3;1;5;4;6;3;6;0;1;1;5;0;0
1000025;1A;6;5;7;9;4;8;8;0;0;1;0;2;1;6;5;7;2;0;5;2;6;8;4;1;5;1;0
1000026;1A;6;0;6;1;1;3;3;0;2;1;0;1;0;5;2;8;5;3;1;0;8;1;1;1;4;1;1
1000027;1A;6;1;2;1;4;9;1;1;4;2;0;5;0;6;0;8;4;0;0;4;8;0;5;1;5;1;1
1000028;1A;6;6;6;8;6;2;2;2;1;2;0;6;1;2;3;1;7;4;7;3;5;3;3;0;4;1;0
1000029;1A;2;5;0;3;0;1;4;1;1;2;0;4;0;1;0;1;7;2;2;0;2;4;2;0;3;1;1
1000030;1A;3;5;5;4;2;5;6;3;3;1;0;2;0;5;4;0;8;0;4;3;0;6;2;0;0;1;1
1000031;1A;2;4;8;3;1;9;2;0;4;2;1;0;0;5;3;9;6;4;8;2;5;7;2;0;1;1;1
1000032;1A;3;1;9;5;1;5;5;0;1;0;1;0;0;0;2;4;3;1;6;2;8;8;2;0;5;1;0
