Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3;8.1;8.2;8.3;9.1;9.2;9.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;7;2;7;9;6;9;10;5;9;2;9;7;9;6;9;7;7;10;5;1;10;9;6;2;9;4;3
1000001;1A;6;0;0;1;6;3;10;3;1;0;9;0;0;4;1;5;4;1;0;1;3;2;5;1;3;4;2
1000002;1A;2;2;7;4;1;5;1;2;3;0;5;5;6;3;4;2;2;9;1;0;9;6;6;0;4;1;2
1000003;1A;7;1;5;1;6;7;10;3;7;2;2;3;2;4;6;3;4;4;0;1;3;9;3;2;8;0;0
1000004;1A;5;1;5;5;4;0;8;4;1;2;6;4;8;0;5;5;5;6;2;0;8;6;4;0;8;4;2
1000005;1A;5;0;0;3;5;0;2;4;4;0;4;7;9;6;3;5;3;0;3;1;8;3;0;2;4;2;2
1000006;1A;1;0;7;8;3;7;10;4;3;2;7;1;4;6;6;6;1;8;0;0;4;1;2;0;3;4;1
1000007;1A;1;2;2;9;6;0;8;5;2;2;7;4;6;6;4;7;3;5;0;1;3;6;3;1;7;0;0
1000008;1A;1;2;5;8;6;9;1;0;2;2;6;7;2;4;0;5;6;3;2;0;4;9;0;0;2;2;3
1000009;1A;7;1;6;9;4;4;4;0;8;1;4;1;5;4;4;6;0;10;0;1;6;7;4;0;8;1;0
1000010;1A;0;0;1;9;1;5;9;4;6;1;9;5;3;1;9;0;1;1;0;0;9;4;4;0;1;1;3
1000011;1A;3;1;3;7;0;6;10;2;4;1;5;3;9;1;5;6;6;3;3;1;1;8;0;0;1;3;3
1000012;1A;6;2;4;7;1;7;1;4;9;0;3;0;9;2;9;2;4;6;4;0;1;1;5;1;8;2;3
1000013;1A;3;1;0;1;5;1;6;0;6;1;3;7;4;2;7;5;5;6;0;0;0;8;5;1;3;3;3
1000014;1A;7;0;1;4;0;5;0;1;6;0;0;7;8;5;4;7;0;7;4;0;3;9;2;2;9;0;3
1000015;1A;0;1;3;5;2;4;10;0;3;2;1;5;4;4;3;5;0;5;1;1;4;5;0;2;1;2;0
1000016;1A;0;1;1;1;5;4;7;0;8;1;1;6;7;3;8;0;7;6;0;0;4;3;4;2;0;1;2
1000017;1A;6;0;1;3;2;2;4;5;8;0;0;4;5;5;4;1;6;5;3;0;0;2;0;2;2;3;2
1000018;1A;4;2;7;2;3;4;7;5;8;2;2;4;0;0;5;1;1;7;5;1;4;6;1;1;7;1;2
1000019;1A;4;1;6;5;0;4;5;4;4;2;7;7;3;2;7;7;2;8;4;0;0;7;3;0;8;1;1
1000020;1A;3;2;6;2;0;5;4;4;7;0;7;5;3;0;3;7;0;10;4;0;0;5;0;1;9;0;2
