Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;8;1;5;6;8;6;10;5;9;8;3;2
1000001;1A;0;1;2;6;5;6;0;5;6;0;0;1
1000002;1A;5;0;0;5;1;1;1;0;5;5;3;1
1000003;1A;0;1;5;4;6;6;1;2;9;6;1;1
1000004;1A;0;0;2;3;8;3;8;5;1;7;1;2
1000005;1A;8;1;3;5;0;3;2;2;5;2;0;1
1000006;1A;4;1;1;3;8;2;7;2;7;1;3;2
1000007;1A;1;1;0;5;0;2;7;0;1;3;3;1
1000008;1A;7;0;5;0;4;3;5;4;9;3;0;2
1000009;1A;7;1;5;3;0;5;8;3;6;6;2;1
1000010;1A;8;0;5;3;1;5;10;2;0;8;3;0
1000011;1A;4;0;5;2;8;1;6;0;5;1;0;2
1000012;1A;1;1;3;2;0;6;7;5;7;0;3;2
1000013;1A;0;0;2;1;4;5;1;1;4;8;2;0
1000014;1A;6;0;0;6;0;2;3;0;8;7;0;1
1000015;1A;3;1;1;6;8;3;3;2;3;5;2;2
1000016;1A;4;1;2;0;5;0;6;0;9;8;1;0
1000017;1A;4;1;1;4;0;3;10;5;8;4;1;0
1000018;1A;1;1;4;0;7;1;7;0;9;4;3;1
1000019;1A;0;1;5;5;3;1;1;3;9;4;0;1
1000020;1A;6;1;5;3;0;4;8;4;9;2;0;0
1000021;1A;7;1;3;5;8;1;8;0;0;4;1;2
1000022;1A;7;0;1;4;4;6;5;4;2;6;0;0
1000023;1A;1;0;5;4;2;4;3;0;4;5;0;0
1000024;1A;1;0;3;3;3;6;5;0;8;6;2;1
1000025;1A;2;0;0;5;6;0;1;4;7;6;1;1
1000026;1A;0;1;1;2;5;2;1;2;1;7;1;2
1000027;1A;2;0;1;6;2;1;5;2;0;3;0;2
1000028;1A;3;1;2;0;1;1;2;1;9;4;0;1
