Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;4;5;10
1000001;1A;4;1;4
1000002;1A;3;5;3
1000003;1A;0;5;3
1000004;1A;4;5;1
1000005;1A;4;2;2
1000006;1A;4;1;2
1000007;1A;1;4;2
1000008;1A;0;5;10
1000009;1A;4;1;9
1000010;1A;2;4;0
1000011;1A;3;2;5
1000012;1A;1;0;9
1000013;1A;3;0;1
1000014;1A;0;1;6
1000015;1A;3;3;5
1000016;1A;4;3;7
1000017;1A;2;5;10
1000018;1A;1;0;9
1000019;1A;1;3;10
1000020;1A;3;4;4
1000021;1A;3;4;0
1000022;1A;1;3;3
1000023;1A;0;1;4
1000024;1A;3;3;7
1000025;1A;1;5;4
1000026;1A;4;1;7
1000027;1A;0;2;2
1000028;1A;0;1;1
1000029;1A;4;1;5
1000030;1A;0;2;4
1000031;1A;0;3;8
1000032;1A;2;5;2
1000033;1A;0;4;0
1000034;1A;2;2;2
1000035;1A;2;5;2
1000036;1A;0;3;6
1000037;1A;4;5;3
1000038;1A;1;0;3
1000039;1A;2;1;8
1000040;1A;2;2;9
