Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;4;6;4;3;4;7;8;10;2;8;2;1;6;4;2
1000001;1A;3;2;4;3;4;0;0;8;2;7;0;0;2;2;2
1000002;1A;2;2;4;1;4;3;7;0;0;0;2;1;4;2;2
1000003;1A;1;2;1;1;1;1;1;8;1;1;2;1;0;1;0
1000004;1A;2;4;1;3;1;5;6;9;2;2;0;0;0;4;2
1000005;1A;2;6;1;3;3;7;3;1;0;0;2;0;2;4;0
1000006;1A;0;1;0;2;1;6;8;8;0;3;1;0;3;1;1
1000007;1A;2;1;0;2;3;7;8;4;1;3;1;0;0;3;1
1000008;1A;4;0;1;3;1;1;0;9;0;0;1;0;4;3;0
1000009;1A;1;0;4;3;0;3;7;8;1;7;1;0;0;4;1
1000010;1A;1;0;4;3;4;2;0;10;2;3;2;1;1;2;2
1000011;1A;2;5;0;2;1;2;8;3;0;7;0;1;0;0;1
1000012;1A;4;3;0;0;1;3;1;10;0;1;0;1;2;4;1
1000013;1A;2;1;2;1;3;5;0;7;2;6;2;1;5;3;2
1000014;1A;4;5;1;0;2;6;2;4;2;7;2;0;0;3;0
1000015;1A;4;5;0;1;0;3;4;10;0;6;1;1;4;4;2
1000016;1A;2;1;4;1;4;2;5;2;1;0;0;0;5;1;1
1000017;1A;4;1;1;2;0;3;0;5;1;1;2;0;0;3;2
1000018;1A;4;4;4;0;0;4;2;9;0;6;2;0;2;3;2
1000019;1A;3;6;3;0;1;5;0;10;0;8;2;1;5;2;1
1000020;1A;2;0;4;3;0;5;1;10;1;3;2;0;6;0;1
1000021;1A;3;2;1;0;3;7;6;3;1;2;1;1;0;1;1
1000022;1A;3;1;2;3;1;1;4;2;1;4;0;1;1;0;0
1000023;1A;4;6;2;0;3;1;3;1;1;7;1;0;3;4;1
