Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3
Meerekenen;;true;true;true;true;true;true
Punten;;5;7;4;4;5;9
1000001;1A;5;2;1;4;4;6
1000002;1A;4;6;2;4;1;6
1000003;1A;1;1;0;0;5;9
1000004;1A;0;6;4;2;0;1
1000005;1A;5;4;3;4;3;1
1000006;1A;2;2;0;2;4;1
1000007;1A;0;3;1;3;1;0
1000008;1A;5;7;1;4;5;1
1000009;1A;4;3;1;4;2;6
1000010;1A;4;3;3;4;5;5
1000011;1A;1;0;1;0;5;0
1000012;1A;0;4;0;2;4;9
1000013;1A;5;5;3;0;0;8
1000014;1A;1;3;1;1;2;2
1000015;1A;0;3;2;2;2;3
1000016;1A;2;6;0;3;1;4
1000017;1A;0;6;2;0;3;6
1000018;1A;1;7;3;0;3;3
1000019;1A;1;2;0;3;5;3
1000020;1A;3;1;4;0;2;6
1000021;1A;1;6;4;4;5;3
1000022;1A;0;0;3;0;2;5
1000023;1A;5;0;3;2;1;0
1000024;1A;4;7;0;3;5;1
1000025;1A;2;0;4;1;2;0
