Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;3;6;1
1000001;1A;2;1;1
1000002;1A;1;3;0
1000003;1A;2;4;0
1000004;1A;2;5;1
1000005;1A;2;5;0
1000006;1A;0;3;0
1000007;1A;3;5;1
1000008;1A;1;4;1
1000009;1A;1;6;1
1000010;1A;3;4;0
1000011;1A;3;5;0
1000012;1A;0;5;0
1000013;1A;1;3;0
1000014;1A;0;0;0
1000015;1A;2;3;0
1000016;1A;0;4;1
1000017;1A;3;0;1
1000018;1A;3;0;1
1000019;1A;2;2;1
1000020;1A;0;3;1
1000021;1A;3;4;1
1000022;1A;2;0;1
1000023;1A;2;1;0
1000024;1A;2;4;1
1000025;1A;0;4;0
1000026;1A;0;4;0
1000027;1A;3;0;1
