Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3
Meerekenen;;true;true;true;true;true;true;true;true;true
Punten;;3;8;5;1;8;3;6;7;6
1000001;1A;2;0;1;1;2;2;2;6;4
1000002;1A;2;3;2;0;8;3;4;2;2
1000003;1A;0;5;4;1;6;1;2;4;4
1000004;1A;3;5;2;0;5;2;0;4;2
1000005;1A;2;4;1;0;5;2;6;0;3
1000006;1A;2;5;2;1;1;3;0;6;3
1000007;1A;0;1;5;1;0;1;5;6;4
1000008;1A;3;6;1;0;6;1;6;6;2
1000009;1A;1;5;3;0;7;0;2;1;0
1000010;1A;2;2;1;0;7;0;6;1;4
1000011;1A;0;0;5;0;4;1;6;2;0
1000012;1A;0;5;0;1;6;0;0;0;2
1000013;1A;2;4;0;1;0;2;5;4;0
1000014;1A;3;8;3;0;0;3;3;5;2
1000015;1A;0;0;2;0;4;0;4;5;3
1000016;1A;0;4;4;0;7;0;4;1;1
1000017;1A;0;2;4;0;3;1;6;4;0
1000018;1A;3;7;0;1;4;3;5;7;3
1000019;1A;2;1;4;1;5;2;2;0;2
1000020;1A;0;7;5;1;6;1;3;2;1
