Deelvraag;;1.1;1.2;1.3
Meerekenen;;true;true;true
Punten;;9;8;4
1000001;1A;0;7;0
1000002;1A;9;5;4
1000003;1A;2;1;0
1000004;1A;4;1;3
1000005;1A;8;4;0
1000006;1A;4;4;3
1000007;1A;3;1;4
1000008;1A;5;6;4
1000009;1A;1;5;1
1000010;1A;9;8;1
1000011;1A;3;3;1
1000012;1A;9;0;1
1000013;1A;6;4;2
1000014;1A;9;4;4
1000015;1A;2;8;0
1000016;1A;7;6;1
1000017;1A;7;4;3
1000018;1A;1;8;0
1000019;1A;8;0;0
1000020;1A;2;3;3
1000021;1A;2;2;0
1000022;1A;6;0;1
1000023;1A;1;3;2
1000024;1A;1;6;4
1000025;1A;6;6;0
1000026;1A;5;7;0
1000027;1A;2;3;2
1000028;1A;0;8;3
1000029;1A;7;7;3
1000030;1A;2;5;3
1000031;1A;6;2;4
1000032;1A;1;4;4
1000033;1A;4;4;1
1000034;1A;3;0;3
1000035;1A;3;7;3
1000036;1A;6;1;2
1000037;1A;8;2;4
